# In-plane momentum (1/um), PSD (a.u.)
1.093274243449247933e+02,2.026649288800005161e+04
1.105840614063607035e+02,1.950435197416332448e+04
1.118406984677966420e+02,1.929904618226991079e+04
1.130973355292325522e+02,1.989571044368782168e+04
1.143539725906684623e+02,1.833500342192672542e+04
1.156106096521043867e+02,1.878322992295805307e+04
1.168672467135402968e+02,1.810785481659757352e+04
1.181238837749762354e+02,1.875485601205624698e+04
1.193805208364121455e+02,1.791517470989955473e+04
1.206371578978480557e+02,1.557412101028057441e+04
1.218937949592839658e+02,1.550646517066293563e+04
1.231504320207198759e+02,1.487467692940739107e+04
1.244070690821558145e+02,1.421233487076922938e+04
1.256637061435917246e+02,1.343620390911424147e+04
1.269203432050276490e+02,1.205217253411553065e+04
1.281769802664635449e+02,1.113090183824365704e+04
1.294336173278994693e+02,1.086813251698206841e+04
1.306902543893353936e+02,1.010025524783294532e+04
1.319468914507713180e+02,9.688930818230668592e+03
1.332035285122072423e+02,9.185504848654916714e+03
1.344601655736431383e+02,9.148453799663266182e+03
1.357168026350790626e+02,8.741091553676451440e+03
1.369734396965149585e+02,8.278976559968199581e+03
1.382300767579509113e+02,8.605459313753221068e+03
1.394867138193868072e+02,8.836110219611568027e+03
1.407433508808227316e+02,9.317525048160681763e+03
1.419999879422586559e+02,9.584722729947248808e+03
1.432566250036945519e+02,1.081510935334308306e+04
1.445132620651305047e+02,1.055537792104065556e+04
1.457698991265664006e+02,1.076400407929758330e+04
1.470265361880023249e+02,1.190163653211564633e+04
1.482831732494382209e+02,1.134238990025894600e+04
1.495398103108741452e+02,1.209103065341241927e+04
1.507964473723100696e+02,1.216874526192353915e+04
1.520530844337459939e+02,1.215613551351346723e+04
1.533097214951819183e+02,1.258887164669437516e+04
1.545663585566178142e+02,1.229010598423398369e+04
1.558229956180537386e+02,1.244289365770712175e+04
1.570796326794896345e+02,1.222578141749250062e+04
1.583362697409255873e+02,1.168801319515642535e+04
1.595929068023614832e+02,1.095414265996967515e+04
1.608495438637974075e+02,1.087137493614991945e+04
1.621061809252333319e+02,1.042585285299910538e+04
1.633628179866692278e+02,1.048348477412255488e+04
1.646194550481051806e+02,9.833072605538956850e+03
1.658760921095410765e+02,9.377619116984520588e+03
1.671327291709770009e+02,9.247014387384469956e+03
1.683893662324128968e+02,8.016091301751986975e+03
1.696460032938488212e+02,7.631366030772904196e+03
1.709026403552847455e+02,7.428429309376128913e+03
1.721592774167206699e+02,6.797713718640966363e+03
1.734159144781565942e+02,6.634776637188147106e+03
1.746725515395924901e+02,5.981509195372775139e+03
1.759291886010284145e+02,5.946581874926078854e+03
1.771858256624643104e+02,5.649283704160904563e+03
1.784424627239002632e+02,5.674920151181768233e+03
1.796990997853361591e+02,6.017569258449420886e+03
1.809557368467720835e+02,6.264929009808560295e+03
1.822123739082080078e+02,6.432168895482335756e+03
1.834690109696439038e+02,6.331753124027932245e+03
1.847256480310798565e+02,6.913673376081088463e+03
1.859822850925157525e+02,7.407477309029619391e+03
1.872389221539516768e+02,7.368957931937185094e+03
1.884955592153875727e+02,7.875892885214944727e+03
1.897521962768234971e+02,7.830598153972238833e+03
1.910088333382594215e+02,8.383542887927607808e+03
1.922654703996953458e+02,8.031554458639022414e+03
1.935221074611312702e+02,7.982885685741167435e+03
1.947787445225671661e+02,8.244783776697840949e+03
1.960353815840030904e+02,8.740118879162393569e+03
1.972920186454389864e+02,8.328170886598874858e+03
1.985486557068749391e+02,8.127773455023906536e+03
1.998052927683108351e+02,8.149260564470590907e+03
2.010619298297467594e+02,8.161037211153062344e+03
2.023185668911826838e+02,8.004125880892335772e+03
2.035752039526185797e+02,7.815611943102183432e+03
2.048318410140545041e+02,7.407628083589577727e+03
2.060884780754904000e+02,7.129150215568850399e+03
2.073451151369263243e+02,6.841558964773977095e+03
2.086017521983622771e+02,6.344178004020715889e+03
2.098583892597982015e+02,5.917982222942969202e+03
2.111150263212340974e+02,5.758699301794259554e+03
2.123716633826700217e+02,5.497258337015146026e+03
2.136283004441059461e+02,4.852486873352711882e+03
2.148849375055418420e+02,4.819968728761512466e+03
2.161415745669777664e+02,4.456347315468765373e+03
2.173982116284136623e+02,4.512751057075267454e+03
2.186548486898495867e+02,4.298876224297415320e+03
2.199114857512855110e+02,4.190470097631618046e+03
2.211681228127214069e+02,4.127666553867947187e+03
2.224247598741573597e+02,4.404761594218981372e+03
2.236813969355932841e+02,4.477488550466076958e+03
2.249380339970292084e+02,4.665769687215581143e+03
2.261946710584651044e+02,4.957760261898978570e+03
2.274513081199010287e+02,5.212723078390758019e+03
2.287079451813369246e+02,5.522296983694292067e+03
2.299645822427728490e+02,5.494054239697176854e+03
2.312212193042087733e+02,5.774237876585675622e+03
2.324778563656446693e+02,6.054696822911017080e+03
2.337344934270805936e+02,6.062853710883055101e+03
2.349911304885165464e+02,6.325168254584304123e+03
