# In-plane momentum (1/um), PSD (a.u.)
6.782511291856108926e+01,2.178467304106153279e+03
6.824121790579152957e+01,2.941284449082450465e+03
6.865732289302196989e+01,3.389480016300371062e+03
6.907342788025241020e+01,4.007203454239321673e+03
6.948953286748285052e+01,4.463941741386169269e+03
6.990563785471327662e+01,4.982049363021331374e+03
7.032174284194371694e+01,5.619503806293272646e+03
7.073784782917415725e+01,6.086667168610719273e+03
7.115395281640458336e+01,6.532385913077511759e+03
7.157005780363502367e+01,6.884890964597847415e+03
7.198616279086544978e+01,7.267580432903818291e+03
7.240226777809589009e+01,7.504324208017807905e+03
7.281837276532633041e+01,8.136775419002391573e+03
7.323447775255675651e+01,8.369467690450466762e+03
7.365058273978721104e+01,8.627671985618342660e+03
7.406668772701765135e+01,8.907832831670539235e+03
7.448279271424807746e+01,8.377179825348453960e+03
7.489889770147851777e+01,9.105178667349528041e+03
7.531500268870894388e+01,9.200090421652830628e+03
7.573110767593938419e+01,8.686940080292788480e+03
7.614721266316982451e+01,8.878078585233428385e+03
7.656331765040025061e+01,8.643281092494833501e+03
7.697942263763069093e+01,8.729111656691613462e+03
7.739552762486111703e+01,8.721511821071982922e+03
7.781163261209157156e+01,8.755831843465521160e+03
7.822773759932201187e+01,8.435851160356396576e+03
7.864384258655243798e+01,8.334083095223739292e+03
7.905994757378287829e+01,8.233361736632266911e+03
7.947605256101331861e+01,7.867136215466881367e+03
7.989215754824374471e+01,7.481869304444360750e+03
8.030826253547418503e+01,7.099586140534243896e+03
8.072436752270461113e+01,6.824484001712583449e+03
8.114047250993505145e+01,6.518760247461740619e+03
8.155657749716549176e+01,6.065570662325442754e+03
8.197268248439591787e+01,5.697499434635516991e+03
8.238878747162637239e+01,5.194877937038916571e+03
8.280489245885681271e+01,4.937854925834089045e+03
8.322099744608723881e+01,4.514921121255227263e+03
8.363710243331767913e+01,3.956275996289196428e+03
8.405320742054810523e+01,3.664361998781153943e+03
8.446931240777854555e+01,3.085870869586275603e+03
8.488541739500898586e+01,2.518685236082800202e+03
8.530152238223941197e+01,2.101728979072470338e+03
8.571762736946985228e+01,1.644613920086891540e+03
8.613373235670027839e+01,1.147352792849964999e+03
8.654983734393073291e+01,6.846716232319002984e+02
8.696594233116117323e+01,3.109395313545859949e+02
8.738204731839159933e+01,3.637348521817143023e+02
8.779815230562203965e+01,7.859451362850999203e+02
8.821425729285247996e+01,1.252334178431686723e+03
8.863036228008290607e+01,1.663438743358055945e+03
8.904646726731334638e+01,2.018728783242233021e+03
8.946257225454377249e+01,2.511320381504253419e+03
8.987867724177421280e+01,2.935298845138858269e+03
9.029478222900465312e+01,3.199526359995962594e+03
9.071088721623507922e+01,3.609471580696694218e+03
9.112699220346553375e+01,4.080459076968819318e+03
9.154309719069595985e+01,4.325074669358996289e+03
9.195920217792640017e+01,4.589864493448811118e+03
9.237530716515684048e+01,4.825195168509718314e+03
9.279141215238726659e+01,5.067147996011160103e+03
9.320751713961770690e+01,5.365512385839017952e+03
9.362362212684813301e+01,5.632905361392415216e+03
9.403972711407857332e+01,5.620115729205272146e+03
9.445583210130901364e+01,5.736738753749282296e+03
9.487193708853943974e+01,5.786343975376147682e+03
9.528804207576988006e+01,6.111545022441041510e+03
9.570414706300033458e+01,6.121673205848866928e+03
9.612025205023076069e+01,6.394397554941238923e+03
9.653635703746120100e+01,6.181689528585749031e+03
9.695246202469162711e+01,6.378003516723709254e+03
9.736856701192206742e+01,6.351273166128539742e+03
9.778467199915250774e+01,6.174809066893380987e+03
9.820077698638293384e+01,6.143139193363464074e+03
9.861688197361337416e+01,6.180539437985337827e+03
9.903298696084380026e+01,5.680046133289231875e+03
9.944909194807424058e+01,5.716165633215561684e+03
